strategy,model,rmse_X,rmse_Z,avg_rmse
time_split,linear,17.867090302974812,6.209341103927471,12.038215703451142
time_split,random_forest,23.164154671562045,10.515818459679325,16.839986565620684
time_split,gradient_boosting,23.4622565361991,9.657609939928985,16.55993323806404
environment_split,linear,21.673819463294862,5.472491516440133,13.573155489867498
environment_split,random_forest,17.92537741629446,11.582922695511053,14.754150055902755
environment_split,gradient_boosting,16.004150038756777,10.033529548675785,13.018839793716282
few_shot_split,linear,12.958115206712488,6.850301469373178,9.904208338042833
few_shot_split,random_forest,18.086846022063572,16.828079796181893,17.457462909122732
few_shot_split,gradient_boosting,17.751246090622747,16.21314558976818,16.982195840195466
